subject,predicate,object
API,isFormOf,Data Extraction
Benefits Data,isUsedIn,Data Mart and Data Product
Bucket,contains,Object
CDC,tracksChangesOf,Master Data
Cloud Storage,contains,Bucket
Data Architecture,hasLayer,Data Lake
Data Architecture,hasLayer,Data Mart and Data Product
Data Architecture,uses,Star Schema
Data Exploration,involves,Data Gathering
Data Exploration,involves,Data Validation
Data Exploration,involves,Unstructured Data
Data Extraction,involves,Data Cleaning
Data Gathering,involves,API
Data Gathering,involves,Data Aggregation
Data Gathering,involves,Web Scraping
Data Mart and Data Product,isPartOf,Data Warehouse
Data Pipeline,facilitates,Integration
Data Pipeline,includes,Landing
Data Pipeline,includes,Staging
Data Preparation,includes,Data Cleaning
Data Preparation,includes,Data Transformation
Data Preparation,involves,Normal Form
Data Processing,includes,Data Aggregation
Data Processing,includes,Data Exploration
Data Processing,includes,Data Integration
Data Processing,includes,Data Preparation
Data Processing,involves,Data Mart and Data Product
Data Processing,involves,Monads
Data Quality,includes,Data Enrichment
Data Quality,includes,Data Profiling
Data Quality,includes,Data Validation
Data Validation,hasAspects,Accuracy
Data Validation,hasAspects,Completeness
Data Validation,hasAspects,Consistency
Image,hasFormat,Standard File Format
JSON,hasFormat,Standard File Format
Master Data,involves,Entity Resolution
Master Data,requiresManagement,Master Data Management
Master Data Management,involves,Data Quality
Master Data Management,involves,MDM: Semantic Similarity
Master Data Management,involves,MDM: Text Distance
Master Data Management,involves,Semantics
Master Data Management,usesTechnique,Master Data Management using Semantic Similarity
Master Data Management,usesTechnique,Master Data Management using Text Distance
Normal Form,isParsedBy,Parser
Object,hasNamespace,Namespace
Parquet,hasFormat,Standard File Format
Pickle,hasFormat,Standard File Format
Reflecting,isRelatedTo,Reflecting Database
Reflecting Database,hasConnection,Database Connection
Regular Expression,enables,RegEx Functions
Regular Expression,involves,Metacharacters
Regular Expression,involves,Sets
Regular Expression,involves,Special Sequences
Star Schema,hasTable,Dimension Table
Star Schema,hasTable,Fact Table
Tabular,hasFormat,Standard File Format
Text,hasFormat,Standard File Format
Unstructured Data,posesChallengeFor,Normal Form
Data Warehouse,follows,Data Architecture
Web Scraping,isFormOf,Data Extraction
Parser,involves,Regular Expression
Data Lake,involves,Cloud Storage
Data Lake,involves,Standard File Format
Data Pipeline,facilitates,Data Processing
Data Warehouse,involves,Reflecting Database
